HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
14,1,2.8,3.2,2.55,A
19,5,2.9,3,2.6,D
8,21,9,4.5,1.36,D
4,10,1.16,7,15,H
17,2,4.75,3.75,1.7,D
7,20,1.75,3.6,4.5,H
6,16,2.9,3.4,2.35,A
18,15,1.33,5,9,H
9,12,1.4,4.2,8.5,A
10,14,2.5,2.9,3.1,H
5,8,2.4,3.1,3.1,D
20,4,15,7,1.18,D
15,17,2.2,3.2,3.4,H
16,21,5.5,4,1.57,A
12,19,2.05,3.2,4,H
18,7,1.4,4.5,8.5,H
2,6,1.53,4,6.5,D
1,9,3.75,3.3,2,D
14,20,1.57,3.6,6.5,H
8,10,2.1,3.2,3.6,H
19,16,4.2,3.3,1.9,A
21,5,1.28,5,12,A
4,12,1.28,5.25,10,H
7,15,2.5,3.1,3,A
6,1,2.8,3.4,2.4,D
9,2,1.95,3.6,3.6,H
17,18,5.5,3.75,1.61,A
12,5,2.5,3,3,H
20,6,4.33,3.4,1.85,A
10,21,7,4.33,1.44,H
15,4,9,4.1,1.4,A
1,8,2.05,3.5,3.4,A
2,19,1.4,4.33,8,H
16,9,3.1,3.3,2.25,H
17,7,2.55,3.1,2.9,D
18,14,1.5,3.8,7.5,H
5,10,2.3,3.1,3.25,A
19,15,3.75,3.1,2.1,A
8,2,3.6,3.2,2.1,A
21,12,1.28,5,11,H
9,20,1.16,7.5,13,H
14,16,4,3.2,2,H
7,1,3.6,3.1,2.15,A
4,17,1.22,6.5,11,H
6,18,4.33,3.5,1.83,D
12,10,2.6,3,2.87,A
20,19,4,3.4,1.9,H
16,8,1.85,3.5,4.2,H
7,4,10,4.33,1.36,A
1,21,5.5,3.75,1.61,D
2,14,1.61,3.6,6,A
18,5,1.61,3.6,5.75,H
15,9,4,3.6,1.85,A
17,6,2.37,3.1,3.1,A
10,16,3.8,3.2,2.05,D
19,1,3.3,3.3,2.2,A
5,20,1.66,3.8,4.5,H
8,12,1.61,3.9,5.25,H
21,2,1.61,4,5,H
14,7,2.5,3.1,2.9,H
6,15,2.37,3.2,2.8,D
9,17,1.25,5.5,9,D
4,18,1.7,3.6,5,H
16,5,1.53,4,6,D
1,12,1.53,4,6,D
17,14,2.37,3.1,3.1,H
2,10,1.61,4,5,H
15,8,2.8,3.1,2.62,H
7,9,5.5,4,1.57,H
4,6,1.36,4.75,8,H
18,19,1.4,4.5,7.5,D
20,21,9,6.5,1.25,A
5,2,3.3,3.4,2.15,D
14,15,2.45,3.25,2.87,D
12,16,5,3.6,1.7,A
10,1,3.8,3.6,1.9,D
21,18,1.9,3.4,4.1,H
9,4,2.75,3.75,2.3,H
6,7,3.25,2.7,2.6,A
8,20,1.14,6.5,23,H
19,17,1.66,3.6,5.25,H
