Time,HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
19,12,10,2.6,3,2.87,A
21,20,19,4,3.4,1.9,H
17,16,8,1.85,3.5,4.2,H
19,7,4,10,4.33,1.36,A
21,1,21,5.5,3.75,1.61,D
17,2,14,1.61,3.6,6,A
19,18,5,1.61,3.6,5.75,H
21,15,9,4,3.6,1.85,A
19,17,6,2.37,3.1,3.1,A
19,10,16,3.8,3.2,2.05,D
21,19,1,3.3,3.3,2.2,A
17,5,20,1.66,3.8,4.5,H
19,8,12,1.61,3.9,5.25,H
21,21,2,1.61,4,5,H
21,14,7,2.5,3.1,2.9,H
17,6,15,2.37,3.2,2.8,D
19,9,17,1.25,5.5,9,D
21,4,18,1.7,3.6,5,H
19,16,5,1.53,4,6,D
21,1,12,1.53,4,6,D
19,17,14,2.37,3.1,3.1,H
21,2,10,1.61,4,5,H
17,15,8,2.8,3.1,2.62,H
19,7,9,5.5,4,1.57,H
21,4,6,1.36,4.75,8,H
19,18,19,1.4,4.5,7.5,D
21,20,21,9,6.5,1.25,A
19,5,2,3.3,3.4,2.15,D
21,14,15,2.45,3.25,2.87,D
19,12,16,5,3.6,1.7,A
19,10,1,3.8,3.6,1.9,D
21,21,18,1.9,3.4,4.1,H
21,9,4,2.75,3.75,2.3,H
19,6,7,3.25,2.7,2.6,A
19,8,20,1.14,6.5,23,H
19,19,17,1.66,3.6,5.25,H
